Page / Section	English Content	Arabic Translation
Our Fleet Page — Hero (whiteline.markition.com/fleet)	Professional assistance for all your client support needs. Available 24/7 to handle every ticket, journey detail, dispatcher issue and unexpected delay.	دعم احترافي لجميع احتياجات عملائك. متاح على مدار الساعة للتعامل مع كل تذكرة وتفاصيل الرحلة وأي تأخير غير متوقع.
Our Fleet Page — Hero (whiteline.markition.com/fleet)	Explore Our Fleet	استعرض أسطولنا
Our Fleet Page — Vehicle Listing (whiteline.markition.com/fleet)	Whiteline Fleet	أسطول وايت لاين
Our Fleet Page — Vehicle Listing (whiteline.markition.com/fleet)	An Elite Fleet Engineered For	أسطول نخبوي مصمم لأقصى
Our Fleet Page — Vehicle Listing (whiteline.markition.com/fleet)	Supreme	درجات
Our Fleet Page — Vehicle Listing (whiteline.markition.com/fleet)	Comfort And Distinction	الراحة والتميز
Our Fleet Page — Vehicle Listing (whiteline.markition.com/fleet)	Our meticulously maintained collection of high-end vehicles represents the absolute pinnacle of automotive luxury. Each model in our fleet undergoes rigorous multi-point inspections and pristine detailing.	مجموعتنا المُصانة بعناية من المركبات الفاخرة تمثل قمة الرفاهية في عالم السيارات. كل طراز في أسطولنا يخضع لفحوصات دقيقة متعددة النقاط وتجهيز احترافي.
Our Fleet Page — Vehicle Listing (whiteline.markition.com/fleet)	Luggages	حقيبة
Our Fleet Page — Vehicle Listing (whiteline.markition.com/fleet)	Persons	راكب
Our Fleet Page — Vehicle Listing (whiteline.markition.com/fleet)	All	الكل
Our Fleet Page — Vehicle Listing (whiteline.markition.com/fleet)	First Class	الدرجة الأولى
Our Fleet Page — Vehicle Listing (whiteline.markition.com/fleet)	Business Class	درجة الأعمال
Our Fleet Page — Vehicle Listing (whiteline.markition.com/fleet)	SUV	إس يو في
Our Fleet Page — Vehicle Listing (whiteline.markition.com/fleet)	Sedan	سيدان
Our Fleet Page — Vehicle Listing (whiteline.markition.com/fleet)	Van	فان
Our Fleet Page — Vehicle Listing (whiteline.markition.com/fleet)	Coaster & Bus	كوستر وباص
Our Fleet Page — Vehicle Listing (whiteline.markition.com/fleet)	Spacious, versatile, and elegant	فسيحة وأنيقة ومتعددة الاستخدامات
White Line Partners Login Page (whiteline.markition.com/b2b/login)	B2B Client Portal	بوابة الشركات B2B
White Line Partners Login Page (whiteline.markition.com/b2b/login)	Precision in Motion	دقة في الحركة
White Line Partners Login Page (whiteline.markition.com/b2b/login)	The command center for the world's most elite chauffeur logistics operations.	مركز القيادة لأرقى عمليات لوجستيات الشوفير في العالم.
White Line Partners Login Page (whiteline.markition.com/b2b/login)	© 2026 Elite Chauffeur Logistics	© 2026 خدمات الشوفير الراقية
White Line Partners Login Page (whiteline.markition.com/b2b/login)	Privacy Policy	سياسة الخصوصية
White Line Partners Login Page (whiteline.markition.com/b2b/login)	Terms & Conditions	الشروط والأحكام
White Line Partners Login Page (whiteline.markition.com/b2b/login)	Login	تسجيل الدخول
White Line Partners Login Page (whiteline.markition.com/b2b/login)	Sign UP	إنشاء حساب
White Line Partners Login Page (whiteline.markition.com/b2b/login)	Email Address	البريد الإلكتروني
White Line Partners Login Page (whiteline.markition.com/b2b/login)	Enter your email address	أدخل بريدك الإلكتروني
White Line Partners Login Page (whiteline.markition.com/b2b/login)	Password	كلمة المرور
White Line Partners Login Page (whiteline.markition.com/b2b/login)	Enter your password	أدخل كلمة المرور
White Line Partners Login Page (whiteline.markition.com/b2b/login)	Forgot Password?	نسيت كلمة المرور؟
White Line Partners Login Page (whiteline.markition.com/b2b/login)	Remember me	تذكرني
White Line Partners Login Page (whiteline.markition.com/b2b/login)	Login to Dashboard	الدخول إلى لوحة التحكم
Contact Page — Hero (whiteline.markition.com/contact)	We're Here To Make Your	نحن هنا لجعل
Contact Page — Hero (whiteline.markition.com/contact)	Journey Effortless.	رحلتك سلسة.
Contact Page — Hero (whiteline.markition.com/contact)	Whether you need help with a booking, want to arrange corporate transportation, or simply have questions, our team is ready to assist.	سواء احتجت إلى مساعدة في الحجز، أو ترغب في ترتيب نقل مؤسسي، أو لديك أسئلة، فريقنا جاهز للمساعدة.
Contact Page — Contact Details (whiteline.markition.com/contact)	Let's Talk About Your	دعنا نتحدث عن
Contact Page — Contact Details (whiteline.markition.com/contact)	Next Journey.	رحلتك القادمة.
Contact Page — Contact Details (whiteline.markition.com/contact)	Our team is available to help with reservations, chauffeur services, corporate accounts, fleet questions, and customer support.	فريقنا متاح للمساعدة في الحجوزات وخدمات الشوفير والحسابات المؤسسية وأسئلة الأسطول ودعم العملاء.
Contact Page — Contact Details (whiteline.markition.com/contact)	Call Us	اتصل بنا
Contact Page — Contact Details (whiteline.markition.com/contact)	+1 (555) 000-0000	+1 (555) 000-0000
Contact Page — Contact Details (whiteline.markition.com/contact)	For bookings and immediate assistance	للحجوزات والمساعدة الفورية
Contact Page — Contact Details (whiteline.markition.com/contact)	Email Us	راسلنا
Contact Page — Contact Details (whiteline.markition.com/contact)	support@whitelane.com	support@whitelane.com
Contact Page — Contact Details (whiteline.markition.com/contact)	We aim to respond as quickly as possible	نسعى للرد بأسرع وقت ممكن
Contact Page — Contact Details (whiteline.markition.com/contact)	Support Available	الدعم متاح
Contact Page — Contact Details (whiteline.markition.com/contact)	24/7 Customer Support	دعم العملاء ٢٤/٧
Contact Page — Contact Details (whiteline.markition.com/contact)	For active rides and urgent inquiries	للرحلات الجارية والاستفسارات العاجلة
Contact Page — Contact Form (whiteline.markition.com/contact)	Send us a message	أرسل لنا رسالة
Contact Page — Contact Form (whiteline.markition.com/contact)	Fill out what you need and a member of our team will get back to you.	أخبرنا بما تحتاجه وسيتواصل معك أحد أعضاء فريقنا.
Contact Page — Contact Form (whiteline.markition.com/contact)	First Name	الاسم الأول
Contact Page — Contact Form (whiteline.markition.com/contact)	First name	الاسم الأول
Contact Page — Contact Form (whiteline.markition.com/contact)	Last Name	اسم العائلة
Contact Page — Contact Form (whiteline.markition.com/contact)	Last name	اسم العائلة
Contact Page — Contact Form (whiteline.markition.com/contact)	Email address	البريد الإلكتروني
Contact Page — Contact Form (whiteline.markition.com/contact)	your@email.com	your@email.com
Contact Page — Contact Form (whiteline.markition.com/contact)	Phone Number	رقم الجوال
Contact Page — Contact Form (whiteline.markition.com/contact)	+1 (555) 000-0000	+966 5X XXX XXXX
Contact Page — Contact Form (whiteline.markition.com/contact)	How can we help?	كيف يمكننا مساعدتك؟
Contact Page — Contact Form (whiteline.markition.com/contact)	Select an option	اختر خياراً
Contact Page — Contact Form (whiteline.markition.com/contact)	Book a Ride	حجز رحلة
Contact Page — Contact Form (whiteline.markition.com/contact)	Corporate Account Inquiry	استفسار عن حساب مؤسسي
Contact Page — Contact Form (whiteline.markition.com/contact)	Fleet Information	معلومات الأسطول
Contact Page — Contact Form (whiteline.markition.com/contact)	Customer Support	دعم العملاء
Contact Page — Contact Form (whiteline.markition.com/contact)	Other	أخرى
Contact Page — Contact Form (whiteline.markition.com/contact)	Preferred Date	التاريخ المفضل
Contact Page — Contact Form (whiteline.markition.com/contact)	Passengers	الركاب
